name,email,password_hash,balance
Mónica Fernandes,monica.fernandes@catchit.pt,$2b$12$M0AhwfEHoYHUa1LlisJYoOAqqRwIg262YsrobKkOocSoJXsYkTD.i,221.31
Rui Santos,rui.santos@catchit.pt,$2b$12$N/0bE2A0oplX8BcwkVCBS.g5otQMfbaIKL97QrxBQtc9M98aT80h6,250.54
Mónica Ferreira,monica.ferreira@catchit.pt,$2b$12$mAMH3SDOH8LAfaGEfogkf.anrZjwOjwpRvfiqemWF4DCtH5WyoWyq,365.19
Carolina Lopes,carolina.lopes@catchit.pt,$2b$12$eec4ubA/umbkDCaR1cjcj.AncfrDDGiK4LzzQRJbpNqFG4vn1IhSi,252.03
Mariana Cunha,mariana.cunha@catchit.pt,$2b$12$27eBSbh.VzdsM39SJgOmNu.z7wkk3R/1EB.ie6OEDbOZor85Jdnu6,282.42
Sérgio Silva,sergio.silva@catchit.pt,$2b$12$nuD1heX8j3owWHdJedCPw./XDu9nMzSdBz1l8YXoso56DFTVzJm/y,278.23
Rui Costa,rui.costa@catchit.pt,$2b$12$Hwk9XcxPiTtp4lUqpiAzyekCVIopSTy3j/l6YYpj3uaU9EUn50maW,334.24
Rodrigo Cunha,rodrigo.cunha@catchit.pt,$2b$12$ThJcRTgskZ73mb7oY/C5sOBMdR/JW0Lbo/jXScxgjbKVc1nIXCAZa,290.96
João Cunha,joao.cunha@catchit.pt,$2b$12$efl0aBHNG1PPZpifb1fh6ORBv987q.2zLC69OUiCVl0euT2gJz1Fy,61.51
Sérgio Melo,sergio.melo@catchit.pt,$2b$12$7nC5SPArqseb7dB1uxetZuqBxEB3gfgf1lGUzg/OBCsugL6Tp3h42,184.12
Paulo Almeida,paulo.almeida@catchit.pt,$2b$12$T6q6EOsAuk6vuP3S7aa1E.uEy8ciZSAScojU6fKz.py7NCOO/nrYK,300.63
Luís Melo,luis.melo@catchit.pt,$2b$12$2wGLQCSqnyfljNFMlD84pehvxxxlxD2jb9zPW/v3ELDxInzgGskeG,77.44
Nuno Carvalho,nuno.carvalho@catchit.pt,$2b$12$jCx/9bL8rTkYTllnbUp/yuLKUJ7of.675nuURXiUXh20JgoSkcNzi,397.13
Ana Melo,ana.melo@catchit.pt,$2b$12$51k2hxaoMZacU3tJl4XSJ.Mptw3qhXjEdlqwChWraDdQ6uzqctoEW,114.69
Inês Mendes,ines.mendes@catchit.pt,$2b$12$hYSpGptmyUBqG/.WyxXCLutHPhk6kydLcoH2U4PcVwFvo0E6LcqUu,183.21
Afonso Nunes,afonso.nunes@catchit.pt,$2b$12$sM71VwMYk16lO04TYoXJOep2rNY0C4FK9.s13CwQwJmR6g122PXNa,126.77
Rui Macedo,rui.macedo@catchit.pt,$2b$12$fNNVfue9VDS2xQlUpBRew.hOr8ebKytoJ4lJnoM6.RPYucZIhBWJ2,297.4
Patrícia Macedo,patricia.macedo@catchit.pt,$2b$12$ciQ7F9CadGeJH9O7jVu2d.EjSW1103NXoeIp3FmTycrKMOvxdPjSi,2.51
Bruno Ribeiro,bruno.ribeiro@catchit.pt,$2b$12$ReAOojXz70ylgdJd1YFb5ekNnGxipdUuW2MNW0MsQ7DvzdRb95Iz2,231.06
Helena Martins,helena.martins@catchit.pt,$2b$12$MQPQHTL.W.ih6z9TqyWyKOuKD/WDe4Q.EOeuEL0gxx0lEo7MCdWMy,246.05
Gonçalo Ferreira,goncalo.ferreira@catchit.pt,$2b$12$wPwdYQBiiHf8aG9M5Byi4ObCqzDjPKZAr/czLqyumDvOQxXbkIKtW,315.72
Mariana Monteiro,mariana.monteiro@catchit.pt,$2b$12$4aLxChm0TZ5x3euZ3DKjOePKapySa862K11Ce3y14qFz9B5E8Is8y,235.78
Marta Pereira,marta.pereira@catchit.pt,$2b$12$A23I6h9cE56dWfMPZjJSJOwzjDnPlUgXJ.guByOPLvsi2gRybNzmy,267.81
Mariana Campos,mariana.campos@catchit.pt,$2b$12$DAYz8nFXwh.r.2MaQEO12uEs4jeflnD4mPOOA1JXAJ8T7016BE1h2,353.27
Joana Gonçalves,joana.goncalves@catchit.pt,$2b$12$/Ai51pEpTFjVN44q.T9PTuhav4eN70t80s/rOpdAxiq9Z3RxDYTem,72.51
Inês Rocha,ines.rocha@catchit.pt,$2b$12$nmye06BAHMuhASmNbIzcduYdGVb0FIAJcAdeZANI3Q3hIqz7MGvsW,183.18
Ana Martins,ana.martins@catchit.pt,$2b$12$b0aMvyQr7xaIb77XTld7nu2fqd2tlZiM9zEzJVGGglplWLRgowdS2,263.71
Carolina Cunha,carolina.cunha@catchit.pt,$2b$12$jPdJrigJLf54BzOTKe8c2unD6EQuAt3AgFqGmIyFieDSLm4el8lg.,118.26
Pedro Vieira,pedro.vieira@catchit.pt,$2b$12$5uDxm6ITQvV5/.IBhaayRONMNqMMy1Il0SV09j9fiQdf9RfIbSAei,125.98
Susana Ribeiro,susana.ribeiro@catchit.pt,$2b$12$lQ3.MSN51Gh57LfCAXCROOgEHJNJ2GLEWD8u3AOml5SxJqIeR2x8O,221.1
Ana Rodrigues,ana.rodrigues@catchit.pt,$2b$12$aIeK7A9lz3WeGvsClOW4c.RIYIP0HuQpc8e/yiCosUgmEsCyEItQa,53.85
Luís Sousa,luis.sousa@catchit.pt,$2b$12$Y/cv40ksN8TBYhF3GBNfOuJgpemikjBydIUuARhC5u3RS/zpsclti,479.52
Teresa Carvalho,teresa.carvalho@catchit.pt,$2b$12$Xwj9zq8d9ROuQ30OLA2eOuzlWcAp/p6l9ID81A/aIVgctgYEDUEe.,386.52
Beatriz Almeida,beatriz.almeida@catchit.pt,$2b$12$Mb96untpEqIdz1GCsAwuZebPZ6pygK3b.PpL425Ebjo06bdR2CFDq,286.68
